DUTCH_WORD,ENGLISH_WORD,DUTCH_PHRASE,ENGLISH_PHRASE
de,the,De kat zit op de mat,The cat is on the mat
van,of,Dit cadeau is van oma,This gift is from grandma
een,a,Ik zie een hond,I see a dog
het,the,Het huis is groot,The house is big
en,and,Ik drink thee en water,I drink tea and water
in,in,De sleutel ligt in de tas,The key is in the bag
is,is,Vandaag is het koud,Today it is cold
dat,that,Ik denk dat het klopt,I think that it is correct
op,on,Het boek ligt op tafel,The book is on the table
te,to,Ik ga te voet naar school,I go to school on foot
De,the,De deur is open,The door is open
zijn,to be,Wij willen op tijd zijn,We want to be on time
voor,for,Deze bloemen zijn voor jou,These flowers are for you
met,with,Ik ga met mijn vriend,I go with my friend
die,that,Ken je die leraar,Do you know that teacher
niet,not,Ik begrijp het niet,I do not understand it
aan,on,Het licht staat aan,The light is on
er,there,Er staat koffie op tafel,There is coffee on the table
om,at,We beginnen om acht uur,We start at eight oclock
Het,it,Het regent vandaag,It is raining today
ook,also,Hij komt ook mee,He is coming too
als,if,Als je tijd hebt bel me,If you have time call me
dan,then,Eerst eten dan werken,First eat then work
maar,but,Ik wil mee maar ik ben moe,I want to join but I am tired
bij,at,Ik werk bij de bakker,I work at the bakery
of,or,Wil je thee of koffie,Do you want tea or coffee
uit,out,Ze komt uit Nederland,She comes from the Netherlands
nog,still,Ik ben nog niet klaar,I am still not ready
worden,to become,Ik wil dokter worden,I want to become a doctor
door,through,We lopen door het park,We walk through the park
naar,to,Ik ga naar huis,I am going home
heeft,has,Zij heeft een nieuwe fiets,She has a new bike
tot,until,De winkel is open tot zes uur,The shop is open until six
ze,they,Ze wonen in Utrecht,They live in Utrecht
wordt,becomes,Het water wordt warm,The water becomes warm
over,about,We praten over school,We talk about school
hij,he,Hij leest elke avond,He reads every evening
In,in,In de zomer zwem ik vaak,In summer I swim often
meer,more,Ik wil meer oefenen,I want to practice more
jaar,year,Volgend jaar reis ik meer,Next year I will travel more
was,was,Het eten was lekker,The food was tasty
ik,I,Ik leer elke dag Nederlands,I study Dutch every day
kan,can,Ik kan je helpen,I can help you
je,you,Hoe gaat het met je,How are you
zich,oneself,Hij wast zich snel,He washes himself quickly
al,already,Ben je al thuis,Are you home already
hebben,to have,Wij willen meer tijd hebben,We want to have more time
geen,no,Ik heb geen geld bij me,I have no money with me
hun,their,Hun huis staat naast ons huis,Their house is next to ours
we,we,We koken vanavond samen,We are cooking together tonight
wat,what,Wat wil je eten,What do you want to eat
Een,a,Een appel per dag is gezond,An apple a day is healthy
Maar,but,Maar ik heb nu geen tijd,But I have no time now
werd,became,Het werd ineens stil,It suddenly became quiet
moet,must,Ik moet nu vertrekken,I must leave now
wel,indeed,Dat is wel interessant,That is indeed interesting
kunnen,to be able to,We moeten dit samen kunnen,We should be able to do this together
Dat,that,Dat boek is van mij,That book is mine
nu,now,Ik vertrek nu naar huis,I am leaving home now
dit,this,Dit is mijn favoriete woord,This is my favorite word
deze,this,Deze oefening is moeilijk,This exercise is difficult
zal,will,Morgen zal ik bellen,Tomorrow I will call
Ik,I,Ik ben blij dat je er bent,I am glad you are here
veel,many,Ik heb veel vragen,I have many questions
zo,so,Waarom ben je zo laat,Why are you so late
En,and,En daarna gaan we wandelen,And after that we go for a walk
andere,other,Ik kies een andere route,I choose another route
nieuwe,new,Ze koopt een nieuwe jas,She buys a new coat
zou,would,Ik zou dat anders doen,I would do that differently
twee,two,Ik heb twee boeken gekocht,I bought two books
moeten,must,Wij moeten vroeg opstaan,We must get up early
onder,under,De kat slaapt onder de stoel,The cat sleeps under the chair
eerste,first,Dit is mijn eerste les,This is my first lesson
haar,her,Ik ken haar al lang,I have known her for a long time
Van,of,Van wie is deze fiets,Whose bike is this
wil,wants,Hij wil vandaag rusten,He wants to rest today
tegen,against,Ik ben tegen dat plan,I am against that plan
men,one,Men zegt dat het waar is,People say that it is true
mensen,people,Mensen lachen in het park,People laugh in the park
gaat,goes,Hoe gaat het met je moeder,How is your mother doing
tussen,between,De bank staat tussen de stoelen,The sofa is between the chairs
grote,big,We wonen in een grote stad,We live in a big city
waar,where,Waar woon je nu,Where do you live now
goed,good,Je spreekt al goed Nederlands,You already speak Dutch well
maken,to make,We gaan samen soep maken,We are going to make soup together
dus,so,Het regent dus we blijven binnen,It is raining so we stay inside
alleen,only,Ik ga alleen naar de winkel,I am going to the shop alone
Hij,he,Hij werkt vandaag thuis,He works from home today
Op,on,Op maandag heb ik les,On Monday I have class
frank,franc,Ik betaal met een oude frank,I pay with an old franc
ons,us,Kom je met ons mee,Are you coming with us
daar,there,Leg het boek daar neer,Put the book down there
na,after,Na het werk ga ik sporten,After work I go exercise
had,had,Zij had gisteren hoofdpijn,She had a headache yesterday
gaan,to go,We willen vroeg gaan,We want to go early
alle,all,Alle kinderen spelen buiten,All children are playing outside
Als,if,Als het lukt kom ik morgen,If it works out I will come tomorrow
Er,there,Er is vandaag geen les,There is no class today
één,one,Ik heb nog één vraag,I still have one question
miljoen,million,De stad heeft één miljoen inwoners,The city has one million inhabitants
jaren,years,Ik woon hier al jaren,I have lived here for years
Voor,for,Voor de les maak ik koffie,Before class I make coffee
komt,comes,De bus komt om negen uur,The bus comes at nine oclock
Ook,also,Ook mijn zus leert Nederlands,My sister also learns Dutch
Ze,she,Ze werkt in een ziekenhuis,She works in a hospital
eigen,own,Ik heb mijn eigen kamer,I have my own room
komen,come,Kun je morgen komen,Can you come tomorrow
zoals,like,Ik hou van fruit zoals appels,I like fruit such as apples
omdat,because,Ik blijf thuis omdat ik moe ben,I stay home because I am tired
doen,do,Wat ga je vandaag doen,What are you going to do today
weer,again,Kun je dat weer zeggen,Can you say that again
staat,stands,De lamp staat bij het raam,The lamp stands near the window
heel,very,Dit boek is heel interessant,This book is very interesting
We,we,We oefenen elke avond samen,We practice together every evening
per,per,Dit kost tien euro per persoon,This costs ten euros per person
toch,still,Hij komt toch vanavond,He is still coming tonight
onze,our,Onze klas begint om acht uur,Our class starts at eight
Die,that,Die film was erg goed,That movie was very good
tijd,time,Ik heb nu geen tijd,I have no time now
mijn,my,Mijn fiets is nieuw,My bike is new
zelf,self,Ik doe het zelf,I do it myself
altijd,always,Zij is altijd op tijd,She is always on time
vooral,especially,Ik hou vooral van muziek,I especially like music
af,off,De computer staat af,The computer is off
toe,toe,Kom naar me toe,Come toward me
waren,were,De winkels waren dicht,The shops were closed
hem,him,Ik zie hem morgen,I will see him tomorrow
drie,three,Wij hebben drie katten,We have three cats
Met,with,Met dit boek leer ik snel,With this book I learn quickly
Belgische,Belgian,Ik proef Belgische chocolade,I taste Belgian chocolate
iets,something,Ik wil iets vragen,I want to ask something
zullen,will,Zullen we samen studeren,Will we study together
zelfs,even,Hij begrijpt zelfs moeilijke woorden,He understands even difficult words
werden,became,De straten werden nat door regen,The streets became wet from rain
heb,have,Ik heb vandaag veel energie,I have a lot of energy today
enkele,several,Ik ken enkele goede cafes,I know several good cafes
aantal,number,Het aantal studenten groeit,The number of students is growing
steeds,continually,Het wordt steeds beter,It keeps getting better
eens,once,Lees deze zin eens,Read this sentence once
minder,less,Ik drink minder koffie,I drink less coffee
land,country,Nederland is een klein land,The Netherlands is a small country
Europese,European,We bespreken Europese geschiedenis,We discuss European history
hier,here,Kom hier zitten,Come sit here
zegt,says,Wat zegt de leraar,What does the teacher say
blijft,stays,Hij blijft thuis vandaag,He stays home today
zonder,without,Ik drink thee zonder suiker,I drink tea without sugar
Bij,at,Bij de school is een park,At the school there is a park
echter,however,Ik wil gaan echter ik ben ziek,I want to go however I am sick
werk,work,Na werk ga ik naar huis,After work I go home
hoe,how,Hoe schrijf je dat woord,How do you write that word
leven,life,Een gezond leven is belangrijk,A healthy life is important
zij,she,Zij leert snel,She learns quickly
zo'n,such a,Ik had nog nooit zo'n dag,I had never had such a day
mee,along,Ga je met ons mee,Are you coming along with us
willen,want,Wij willen morgen oefenen,We want to practice tomorrow
markt,market,Op zaterdag ga ik naar de markt,On Saturday I go to the market
miljard,billion,Dat bedrijf verdient een miljard per jaar,That company earns a billion per year
Amerikaanse,American,We lezen Amerikaanse boeken,We read American books
zeer,very,De soep is zeer warm,The soup is very hot
toen,then,Toen begon de les,Then the class started
plaats,place,Dit is een rustige plaats,This is a quiet place
krijgen,get,Wij krijgen elke week huiswerk,We get homework every week
Dit,this,Dit is een goed voorbeeld,This is a good example
zien,see,Kan je het bord zien,Can you see the board
laten,let,Laat mij het zien,Let me see it
blijven,stay,We blijven nog een uur,We stay one more hour
via,via,Ik stuur het via e mail,I send it via email
bedrijf,company,Mijn broer werkt bij een groot bedrijf,My brother works at a big company
bijvoorbeeld,for example,Neem bijvoorbeeld dit woord,Take this word for example
werken,work,Wij werken samen aan de oefening,We work together on the exercise
staan,stand,De fietsen staan buiten,The bikes stand outside
nooit,never,Ik ben nooit te laat,I am never late
rond,around,We lopen rond het meer,We walk around the lake
wereld,world,Ik wil de wereld zien,I want to see the world
Zo,so,Zo leer je sneller,This is how you learn faster
alles,everything,Ik begrijp alles nu,I understand everything now
want,because,Ik ga naar huis want ik ben moe,I am going home because I am tired
binnen,inside,Kom snel binnen,Come inside quickly
elkaar,each other,We helpen elkaar in de klas,We help each other in class
hele,whole,Ik was de hele dag thuis,I was home the whole day
fr,franc,Dit bedrag is in fr geschreven,This amount is written in francs
Wat,what,Wat betekent dit woord,What does this word mean
Deze,this,Deze zin is makkelijk,This sentence is easy
bedrijven,companies,Veel bedrijven zoeken personeel,Many companies are looking for staff
wij,we,Wij wonen dicht bij school,We live close to school
geleden,ago,Dat was tien jaar geleden,That was ten years ago
laatste,last,Dit is de laatste vraag,This is the last question
houden,keep,We houden de deur open,We keep the door open
weg,away,De winkel is ver weg,The shop is far away
geld,money,Ik spaar geld voor vakantie,I save money for vacation
geven,give,Kan je mij een pen geven,Can you give me a pen
maakt,makes,Deze oefening maakt me beter,This exercise makes me better
procent,percent,Slechts tien procent is fout,Only ten percent is wrong
Vlaamse,Flemish,Ik luister naar Vlaamse radio,I listen to Flemish radio
aandelen,shares,Hij koopt aandelen online,He buys shares online
Europa,Europe,Wij reizen door Europa,We travel through Europe
dag,day,Vandaag is een mooie dag,Today is a beautiful day
me,me,Bel me vanavond,Call me tonight
weinig,little,Ik heb weinig tijd vandaag,I have little time today
maanden,months,We wachten al maanden,We have been waiting for months
ligt,lies,Het papier ligt op de vloer,The paper lies on the floor
uur,hour,De les duurt een uur,The lesson lasts one hour
beter,better,Nu spreek je beter Nederlands,Now you speak Dutch better
manier,way,Dit is een goede manier om te leren,This is a good way to learn
Volgens,according to,Volgens de docent is dit correct,According to the teacher this is correct
groot,big,Dat is een groot verschil,That is a big difference
zit,sits,De student zit vooraan,The student sits in front
volgens,according to,Volgens mij is het juist,According to me it is correct
lang,long,De film was te lang,The movie was too long
zouden,would,Zij zouden graag helpen,They would like to help
mag,may,Mag ik een vraag stellen,May I ask a question
mogelijk,possible,Is dat mogelijk morgen,Is that possible tomorrow
regering,government,De regering maakt nieuwe regels,The government makes new rules
Brussel,Brussels,Brussel is de hoofdstad van Belgie,Brussels is the capital of Belgium
verschillende,different,We leren verschillende woorden,We learn different words
kwam,came,Hij kwam te laat in de klas,He came late to class
terug,back,Ik kom morgen terug,I will come back tomorrow
tweede,second,Dit is mijn tweede poging,This is my second attempt
kinderen,children,De kinderen spelen buiten,The children play outside
mij,me,Kun je mij helpen,Can you help me
ben,am,Ik ben vandaag blij,I am happy today
deel,part,Dit deel is moeilijk,This part is difficult
man,man,Die man spreekt langzaam,That man speaks slowly
niets,nothing,Ik zie niets op het bord,I see nothing on the board
BEF,Belgian franc,De oude prijs stond in BEF,The old price was in BEF